,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_G&S_frontomargin_volume,lh_G&S_occipital_inf_volume,lh_G&S_paracentral_volume,lh_G&S_subcentral_volume,lh_G&S_transv_frontopol_volume,lh_G&S_cingul-Ant_volume,lh_G&S_cingul-Mid-Ant_volume,lh_G&S_cingul-Mid-Post_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-ventral_volume,lh_G_cuneus_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Triangul_volume,lh_G_front_middle_volume,lh_G_front_sup_volume,lh_G_Ins_lg&S_cent_ins_volume,lh_G_insular_short_volume,lh_G_occipital_middle_volume,lh_G_occipital_sup_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_orbital_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Supramar_volume,lh_G_parietal_sup_volume,lh_G_postcentral_volume,lh_G_precentral_volume,lh_G_precuneus_volume,lh_G_rectus_volume,lh_G_subcallosal_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temporal_inf_volume,lh_G_temporal_middle_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-post_volume,lh_Pole_occipital_volume,lh_Pole_temporal_volume,lh_S_calcarine_volume,lh_S_central_volume,lh_S_cingul-Marginalis_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_sup_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_post_volume,lh_S_front_inf_volume,lh_S_front_middle_volume,lh_S_front_sup_volume,lh_S_interm_prim-Jensen_volume,lh_S_intrapariet&P_trans_volume,lh_S_oc_middle&Lunatus_volume,lh_S_oc_sup&transversal_volume,lh_S_occipital_ant_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_med&Lingual_volume,lh_S_orbital_lateral_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital-H_Shaped_volume,lh_S_parieto_occipital_volume,lh_S_pericallosal_volume,lh_S_postcentral_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-sup-part_volume,lh_S_suborbital_volume,lh_S_subparietal_volume,lh_S_temporal_inf_volume,lh_S_temporal_sup_volume,lh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,lh_G_and_S_frontomargin_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc-temp_med_and_Lingual_volume,rh_G&S_frontomargin_volume,rh_G&S_occipital_inf_volume,rh_G&S_paracentral_volume,rh_G&S_subcentral_volume,rh_G&S_transv_frontopol_volume,rh_G&S_cingul-Ant_volume,rh_G&S_cingul-Mid-Ant_volume,rh_G&S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg&S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet&P_trans_volume,rh_S_oc_middle&Lunatus_volume,rh_S_oc_sup&transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med&Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_oc-temp_med_and_Lingual_volume
sub-D0074,3050.2,3855.3,1563.4,3396.4,1350.2,332.8,3162.5,3969.2,1659.6,3666.7,1674.8,459.6,1009216.0,994080.0,206508.466709,206944.407615,413452.874324,207127.632028,208537.47819,415665.110218,48939.0,552734.874324,892613.984542,880597.984542,1253294.0,0.750388,0.931868,14.0,18.0,32.0,1344926.026667,1989.0,1894.0,2764.0,2837.0,1541.0,3477.0,2665.0,2130.0,1336.0,550.0,2603.0,2486.0,841.0,2953.0,7893.0,14433.0,1244.0,2023.0,4419.0,2211.0,3484.0,3613.0,2561.0,5074.0,3959.0,7432.0,5037.0,3685.0,4962.0,6087.0,1797.0,1200.0,963.0,5185.0,1649.0,2068.0,7276.0,5887.0,383.0,367.0,1624.0,2901.0,5069.0,2141.0,3008.0,1516.0,749.0,2035.0,2285.0,1319.0,428.0,3459.0,2086.0,5742.0,451.0,3313.0,1166.0,1529.0,569.0,885.0,2648.0,495.0,713.0,2311.0,2597.0,923.0,3979.0,1755.0,1896.0,813.0,1680.0,2285.0,6942.0,678.0,994080.0,1344926.026667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.0,1569.0,2532.0,2508.0,2460.0,4886.0,2562.0,2942.0,1400.0,584.0,3154.0,2968.0,624.0,2629.0,7547.0,14255.0,1148.0,1819.0,4563.0,2874.0,3991.0,3641.0,2498.0,5699.0,5416.0,5300.0,3764.0,3209.0,5010.0,4941.0,1502.0,707.0,762.0,4585.0,2519.0,1649.0,7439.0,6602.0,370.0,263.0,1933.0,4315.0,5885.0,2299.0,3037.0,1844.0,850.0,1723.0,1939.0,1542.0,435.0,3161.0,2919.0,3158.0,303.0,3453.0,1132.0,1459.0,940.0,1215.0,2724.0,672.0,771.0,2416.0,3231.0,1180.0,2864.0,2105.0,1490.0,308.0,2072.0,1978.0,7026.0,586.0,994080.0,1344926.026667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0075,3354.7,4883.1,1905.7,3884.3,1924.1,537.2,3409.1,4995.1,1997.9,4130.8,1909.2,631.3,1141257.0,1127487.0,232657.196821,234712.58295,467369.779771,234068.71524,234724.035356,468792.750596,58783.0,628786.779771,1007949.530368,997670.530368,1396203.0,0.778034,0.951839,6.0,21.0,27.0,1466847.668454,2698.0,2821.0,2760.0,3587.0,2027.0,5808.0,2168.0,1925.0,1506.0,723.0,2532.0,3398.0,1239.0,1671.0,10155.0,16719.0,1854.0,2117.0,4690.0,1639.0,3996.0,3728.0,3560.0,5764.0,5975.0,5029.0,6716.0,4762.0,6023.0,6633.0,2124.0,1310.0,915.0,7023.0,2005.0,1647.0,5671.0,7412.0,290.0,372.0,1306.0,2480.0,4709.0,2404.0,4005.0,1467.0,812.0,2420.0,2540.0,1386.0,602.0,3155.0,2118.0,4865.0,446.0,3927.0,961.0,1572.0,1356.0,1220.0,3329.0,924.0,1006.0,2742.0,2593.0,941.0,3867.0,3144.0,1629.0,912.0,1521.0,2667.0,10138.0,536.0,1127487.0,1466847.668454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,2452.0,2804.0,2872.0,2813.0,6114.0,2526.0,3072.0,1237.0,628.0,2576.0,3168.0,689.0,2247.0,11203.0,16352.0,1609.0,2444.0,4981.0,2088.0,5107.0,4100.0,3505.0,5993.0,6956.0,5102.0,5892.0,4038.0,7825.0,5054.0,1995.0,690.0,631.0,5068.0,2059.0,1524.0,6627.0,7407.0,567.0,470.0,1830.0,4404.0,6232.0,2201.0,3893.0,1670.0,983.0,1812.0,2283.0,1641.0,566.0,2785.0,2517.0,3444.0,840.0,4669.0,1110.0,1578.0,1078.0,1571.0,2820.0,636.0,1232.0,2510.0,3119.0,1683.0,3420.0,2420.0,3524.0,41.0,1439.0,1836.0,9226.0,328.0,1127487.0,1466847.668454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0076,3077.5,4777.8,1875.3,4223.5,1745.4,408.5,2913.9,4980.3,1807.9,4840.1,1991.2,509.0,1232901.0,1211631.0,237345.510116,239847.547131,477193.057247,257950.38236,262860.753332,520811.135692,59665.0,657531.057247,1080606.192939,1063744.192939,1442033.0,0.793681,0.92831,31.0,29.0,60.0,1553396.074418,2345.0,3270.0,2301.0,3100.0,1150.0,4816.0,1702.0,2002.0,1576.0,607.0,2543.0,2597.0,1013.0,2684.0,9602.0,16813.0,1352.0,2468.0,3966.0,2019.0,5704.0,4973.0,3380.0,6138.0,5851.0,7706.0,5672.0,3201.0,5942.0,7052.0,2599.0,1816.0,1292.0,6166.0,2298.0,1854.0,7875.0,8411.0,478.0,314.0,1418.0,2617.0,5393.0,2440.0,4072.0,1729.0,1022.0,2682.0,2692.0,1754.0,682.0,2937.0,2713.0,4816.0,831.0,4430.0,1145.0,1631.0,1175.0,1720.0,3105.0,445.0,1079.0,2531.0,3530.0,963.0,3855.0,1987.0,2616.0,1060.0,2270.0,2200.0,9411.0,341.0,1211631.0,1553396.074418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,3248.0,2161.0,3844.0,1620.0,5830.0,2996.0,3026.0,1839.0,718.0,3174.0,3201.0,875.0,2247.0,7920.0,15768.0,1501.0,2780.0,3748.0,1549.0,4493.0,4879.0,2741.0,6904.0,7821.0,6177.0,4341.0,3220.0,5984.0,6863.0,1914.0,1099.0,855.0,4954.0,2435.0,1994.0,9229.0,8953.0,971.0,387.0,1853.0,4078.0,6439.0,2624.0,3798.0,1710.0,1153.0,2389.0,2057.0,1511.0,541.0,4008.0,3575.0,3945.0,682.0,4363.0,844.0,869.0,1100.0,1585.0,3167.0,753.0,1207.0,2218.0,4799.0,1426.0,3791.0,2728.0,1907.0,438.0,2615.0,2304.0,9485.0,449.0,1211631.0,1553396.074418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0077,3010.7,4310.0,1836.3,3922.7,1459.4,352.4,3209.6,4734.2,1820.8,4430.9,1719.7,469.5,1085026.0,1071829.0,221397.087092,218787.220077,440184.307168,225272.743417,225833.338388,451106.081805,53353.0,595497.307168,957668.388973,948140.388973,1339014.0,0.773726,0.954843,18.0,19.0,37.0,1402338.83441,2382.0,2592.0,2784.0,2564.0,1524.0,3893.0,2151.0,2403.0,1472.0,597.0,2728.0,2652.0,1081.0,2370.0,10710.0,15711.0,1566.0,2127.0,5243.0,1820.0,4197.0,5467.0,4047.0,5505.0,6153.0,5321.0,5694.0,4869.0,6407.0,5317.0,2279.0,1078.0,1087.0,5135.0,1574.0,1624.0,5990.0,6781.0,274.0,492.0,1320.0,2902.0,4991.0,2097.0,3848.0,1427.0,795.0,2141.0,2478.0,1739.0,626.0,3294.0,1900.0,4430.0,156.0,4047.0,1319.0,1421.0,1086.0,863.0,3087.0,481.0,957.0,2088.0,2903.0,853.0,3073.0,2234.0,1810.0,954.0,1506.0,2179.0,9164.0,421.0,1071829.0,1402338.83441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,2417.0,2233.0,2900.0,1958.0,5355.0,2373.0,2337.0,1382.0,476.0,2551.0,3260.0,876.0,1431.0,7402.0,14369.0,1685.0,1912.0,4974.0,2258.0,4078.0,4379.0,4097.0,6838.0,6431.0,4710.0,5381.0,3258.0,6126.0,5780.0,2071.0,439.0,696.0,4855.0,2440.0,1515.0,6343.0,7527.0,382.0,283.0,1670.0,4334.0,6354.0,1791.0,3438.0,1819.0,855.0,1503.0,2109.0,1689.0,530.0,2951.0,3042.0,4480.0,670.0,4579.0,1237.0,1528.0,881.0,1272.0,2775.0,624.0,1137.0,2160.0,3288.0,1007.0,2429.0,2468.0,1890.0,627.0,2098.0,1958.0,8065.0,287.0,1071829.0,1402338.83441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0078,3990.3,4868.0,1865.1,4333.2,1944.4,572.9,3937.9,5590.3,1889.1,4182.2,2059.1,601.0,1216945.0,1199189.0,264277.122892,262042.883897,526320.006788,239096.247876,235161.799367,474258.047244,62170.0,693248.006788,1081265.054032,1066898.054032,1492483.0,0.808793,0.991918,49.0,30.0,79.0,1504643.696947,2194.0,3067.0,3349.0,3604.0,1653.0,5300.0,2440.0,3179.0,1823.0,793.0,2811.0,3559.0,1131.0,3075.0,11531.0,21949.0,1774.0,2280.0,5184.0,2774.0,4068.0,3789.0,4013.0,6572.0,5485.0,6845.0,7412.0,5215.0,8020.0,6299.0,2601.0,1321.0,918.0,6275.0,2063.0,1860.0,9035.0,8575.0,522.0,451.0,1464.0,3349.0,6337.0,2569.0,3646.0,2298.0,713.0,2536.0,2896.0,2481.0,538.0,3836.0,3333.0,5834.0,270.0,5031.0,1315.0,1857.0,1079.0,1477.0,3142.0,546.0,921.0,2657.0,3712.0,1106.0,5166.0,3496.0,2171.0,773.0,1527.0,2336.0,9299.0,607.0,1199189.0,1504643.696947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,2303.0,2866.0,3067.0,2806.0,6310.0,3273.0,3777.0,1672.0,912.0,2899.0,3372.0,944.0,2951.0,12075.0,19338.0,1810.0,2551.0,5649.0,2758.0,4458.0,4500.0,3865.0,8193.0,8144.0,6136.0,6444.0,3454.0,7128.0,6486.0,1940.0,1088.0,879.0,4754.0,2653.0,1846.0,9041.0,8936.0,937.0,668.0,1850.0,4778.0,6488.0,2571.0,3660.0,2308.0,1091.0,1743.0,2214.0,2625.0,622.0,3260.0,3159.0,3847.0,650.0,5228.0,1252.0,1781.0,1168.0,1872.0,2717.0,719.0,1079.0,2877.0,4207.0,1942.0,3004.0,1985.0,2673.0,496.0,2414.0,2502.0,9572.0,501.0,1199189.0,1504643.696947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0079,3134.8,4829.6,1973.9,3837.8,1630.6,328.5,3246.2,5054.1,2113.9,4077.2,1761.4,465.1,1143712.0,1113728.0,235136.132269,236949.034611,472085.166879,226900.044602,226045.154324,452945.198927,55499.0,632928.166879,1009843.365806,984528.365806,1426887.0,0.76148,0.950017,21.0,15.0,36.0,1501960.048683,2024.0,3758.0,2663.0,3610.0,1916.0,3857.0,2108.0,2269.0,1898.0,740.0,2967.0,3424.0,1194.0,2723.0,9931.0,16429.0,1679.0,2400.0,4514.0,2323.0,4152.0,4938.0,3499.0,5929.0,6463.0,6744.0,5350.0,3466.0,6408.0,5082.0,2264.0,1403.0,1066.0,6115.0,2236.0,1838.0,6899.0,7442.0,445.0,476.0,1777.0,3148.0,6259.0,2447.0,3727.0,1490.0,767.0,2843.0,2806.0,1565.0,485.0,3625.0,1663.0,5254.0,534.0,3943.0,1383.0,1628.0,1090.0,1542.0,3381.0,517.0,946.0,2352.0,2573.0,1063.0,3948.0,3109.0,1594.0,686.0,1464.0,2263.0,9340.0,412.0,1113728.0,1501960.048683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,3156.0,2241.0,3398.0,2604.0,5348.0,1983.0,2239.0,1600.0,616.0,2767.0,3776.0,904.0,2782.0,8999.0,15245.0,1505.0,2320.0,4832.0,2483.0,5340.0,3728.0,3751.0,6224.0,7130.0,5884.0,3878.0,3918.0,6646.0,5479.0,2202.0,815.0,685.0,5198.0,2367.0,1762.0,6769.0,9894.0,405.0,484.0,2124.0,4537.0,7669.0,2343.0,3645.0,1516.0,928.0,1885.0,2481.0,1771.0,772.0,3335.0,2917.0,3876.0,526.0,4093.0,1039.0,1401.0,1192.0,1033.0,3080.0,534.0,1104.0,2291.0,2966.0,1037.0,3417.0,2883.0,1693.0,579.0,2367.0,2367.0,10893.0,415.0,1113728.0,1501960.048683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0080,2763.4,4310.2,1942.9,3289.8,1368.9,291.7,2666.6,4339.0,2024.4,3470.7,1378.3,382.9,953980.0,933678.0,194474.523367,194385.791062,388860.314429,190339.113458,189064.746307,379403.859764,48576.0,526527.314429,836273.174194,819270.174194,1194731.0,0.74301,0.93052,10.0,13.0,23.0,1283939.326569,2050.0,1689.0,2249.0,2580.0,1208.0,3209.0,1651.0,2122.0,1550.0,670.0,2532.0,2595.0,782.0,1821.0,8851.0,15565.0,1150.0,1600.0,4396.0,2087.0,2969.0,3737.0,2362.0,4387.0,5182.0,5636.0,4690.0,3265.0,5234.0,4355.0,2051.0,829.0,928.0,4325.0,1419.0,1690.0,6835.0,6870.0,293.0,302.0,1364.0,2559.0,4521.0,2381.0,3471.0,1070.0,626.0,1957.0,1906.0,1544.0,403.0,2380.0,1709.0,4590.0,342.0,3308.0,812.0,1714.0,786.0,1242.0,2306.0,360.0,550.0,2122.0,2151.0,929.0,2807.0,1987.0,1557.0,775.0,1437.0,1880.0,8762.0,329.0,933678.0,1283939.326569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,2215.0,2073.0,2330.0,1814.0,4046.0,2374.0,2279.0,1337.0,686.0,2500.0,2590.0,796.0,1125.0,8789.0,13610.0,1160.0,1197.0,4786.0,2654.0,3471.0,4087.0,3169.0,4792.0,6877.0,4795.0,3650.0,3020.0,5464.0,4350.0,1844.0,433.0,693.0,3656.0,1663.0,1529.0,4753.0,6644.0,492.0,280.0,1830.0,4428.0,5396.0,2270.0,3479.0,1593.0,650.0,1699.0,1785.0,1438.0,518.0,2153.0,2265.0,3576.0,382.0,3434.0,909.0,1508.0,1101.0,1382.0,2107.0,307.0,779.0,1931.0,2184.0,1129.0,2438.0,2224.0,1626.0,431.0,1715.0,1963.0,8541.0,408.0,933678.0,1283939.326569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0082,3416.7,5046.8,2127.5,4065.2,1463.2,411.6,3363.8,5096.2,2242.0,4433.8,1698.2,544.9,1145701.0,1133596.0,239519.380881,239385.785332,478905.166212,223818.571829,222196.869738,446015.441566,58533.0,652435.166212,994731.607779,986222.607779,1416434.0,0.745812,0.92205,23.0,16.0,39.0,1536178.352764,2062.0,2936.0,2855.0,3368.0,1567.0,4898.0,2640.0,2173.0,1626.0,660.0,3119.0,3782.0,995.0,2649.0,9929.0,16435.0,1531.0,2649.0,4830.0,2504.0,4211.0,3810.0,3486.0,5161.0,6916.0,5545.0,5868.0,3918.0,5943.0,5762.0,2647.0,1110.0,875.0,6546.0,2048.0,1658.0,8025.0,7964.0,419.0,503.0,1415.0,2977.0,6226.0,2613.0,3757.0,1194.0,838.0,2109.0,2349.0,1894.0,391.0,3101.0,2322.0,5356.0,161.0,3902.0,1218.0,1576.0,1263.0,1808.0,3267.0,539.0,871.0,2740.0,3026.0,1304.0,3400.0,2651.0,2171.0,974.0,1655.0,2369.0,11643.0,628.0,1133596.0,1536178.352764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.0,2554.0,2769.0,2688.0,2475.0,6037.0,2903.0,2780.0,1558.0,611.0,3335.0,3532.0,835.0,2802.0,9239.0,15837.0,1869.0,2652.0,6023.0,2852.0,4613.0,4506.0,4134.0,6441.0,6358.0,4714.0,3925.0,3885.0,6682.0,4737.0,2167.0,739.0,1083.0,5673.0,2263.0,1422.0,8013.0,8041.0,630.0,232.0,1710.0,4721.0,6320.0,3001.0,3293.0,1667.0,923.0,2290.0,2327.0,2309.0,637.0,2600.0,2844.0,4513.0,485.0,3569.0,1435.0,2188.0,1543.0,1719.0,3080.0,612.0,1133.0,2706.0,3281.0,1199.0,2836.0,3030.0,2092.0,491.0,1809.0,1936.0,10285.0,318.0,1133596.0,1536178.352764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0083,4470.7,5550.2,2845.4,4904.9,1973.8,473.9,3966.0,6975.9,2500.8,5319.4,2289.4,658.6,1471655.0,1449590.0,298542.522271,302455.527886,600998.050157,302867.788519,307847.885867,610715.674386,72057.0,797745.050157,1306116.724543,1288848.724543,1782220.0,0.770444,0.933031,20.0,32.0,52.0,1910140.050126,2865.0,2863.0,2823.0,3476.0,1615.0,5908.0,3776.0,3037.0,2404.0,835.0,3561.0,5028.0,1238.0,2940.0,12570.0,24188.0,2015.0,2919.0,6294.0,2973.0,6433.0,4598.0,5391.0,7185.0,8134.0,8391.0,6488.0,4901.0,7240.0,8505.0,2604.0,2143.0,1104.0,7280.0,2812.0,1947.0,10913.0,10451.0,419.0,534.0,1464.0,3173.0,7324.0,2741.0,4106.0,1397.0,1177.0,2673.0,3590.0,2387.0,676.0,4430.0,2087.0,5423.0,1016.0,3948.0,1670.0,2113.0,1573.0,1773.0,3237.0,513.0,998.0,3487.0,4380.0,1715.0,4921.0,3320.0,2737.0,991.0,2177.0,3310.0,12707.0,583.0,1449590.0,1910140.050126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.0,3387.0,2190.0,3362.0,2965.0,8503.0,4245.0,3691.0,1949.0,927.0,3631.0,4255.0,1158.0,3478.0,15018.0,20988.0,2020.0,3215.0,6388.0,3033.0,6180.0,4911.0,4498.0,8386.0,10437.0,7331.0,5618.0,4598.0,6280.0,6229.0,2218.0,1120.0,669.0,6526.0,2539.0,1422.0,10001.0,11536.0,683.0,602.0,2281.0,5282.0,7630.0,2692.0,3551.0,2460.0,1200.0,2542.0,3221.0,2957.0,627.0,4213.0,4502.0,5355.0,937.0,4905.0,982.0,1888.0,1368.0,2104.0,3710.0,773.0,1287.0,3672.0,4704.0,1304.0,5098.0,2220.0,2839.0,576.0,2571.0,2648.0,13835.0,537.0,1449590.0,1910140.050126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-D0084,3014.8,4296.8,2000.8,4001.0,1573.4,423.7,2894.7,3782.2,1846.8,3872.8,1567.6,573.8,1048088.0,1035679.0,223604.883538,224099.983174,447704.866712,201159.157141,202530.265938,403689.423079,53671.0,604627.866712,917150.289791,908486.289791,1282167.0,0.822445,1.00613,17.0,19.0,36.0,1274355.67913,1736.0,3215.0,2316.0,2977.0,1409.0,4546.0,2353.0,2645.0,1762.0,654.0,3243.0,2961.0,1020.0,2083.0,10105.0,15870.0,1055.0,2068.0,3953.0,1797.0,4781.0,5401.0,2949.0,5315.0,5317.0,7495.0,5447.0,3584.0,5355.0,5677.0,2166.0,1659.0,615.0,5027.0,2091.0,1911.0,6338.0,8800.0,290.0,552.0,1226.0,2322.0,5017.0,3035.0,3362.0,1105.0,693.0,1779.0,2688.0,1364.0,722.0,2635.0,1647.0,4589.0,367.0,3774.0,1339.0,1418.0,862.0,1001.0,3186.0,291.0,1019.0,2398.0,2955.0,1308.0,4470.0,2113.0,2238.0,1039.0,1209.0,2692.0,9834.0,852.0,1035679.0,1274355.67913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0,2609.0,2030.0,2570.0,1928.0,5490.0,2477.0,2602.0,1610.0,741.0,3116.0,2907.0,780.0,2344.0,8305.0,16089.0,1318.0,2293.0,4566.0,2065.0,4495.0,4828.0,2740.0,5613.0,7302.0,5867.0,4423.0,2789.0,6347.0,4944.0,1776.0,778.0,672.0,4293.0,1803.0,1745.0,6253.0,9644.0,524.0,575.0,1767.0,5080.0,5728.0,3607.0,3099.0,1513.0,918.0,1687.0,2130.0,1431.0,1104.0,2363.0,2407.0,3576.0,550.0,4860.0,1279.0,1540.0,823.0,1559.0,2725.0,538.0,1134.0,2326.0,3386.0,1207.0,2992.0,2384.0,2779.0,544.0,1851.0,2303.0,9154.0,375.0,1035679.0,1274355.67913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
