aparc.a2009s_area,aparc.a2009s_thickness,aparc.a2009s_volume,aparc.DKTatlas_area,aparc.DKTatlas_thickness,aparc.DKTatlas_volume,aparc_area,aparc_thickness,aparc_volume,new_altas
lh_G_parietal_sup_area,lh_G_parietal_sup_thickness,lh_G_parietal_sup_volume,lh_superiorparietal_area,lh_superiorparietal_thickness,lh_superiorparietal_volume,lh_superiorfrontal_area,lh_superiorfrontal_thickness,lh_superiorfrontal_volume,lh_supramarginal_area
lh_G_postcentral_area,lh_G_postcentral_thickness,lh_G_postcentral_volume,lh_superiortemporal_area,lh_superiortemporal_thickness,lh_superiortemporal_volume,lh_superiorparietal_area,lh_superiorparietal_thickness,lh_superiorparietal_volume,lh_frontalpole_area
lh_G_precentral_area,lh_G_precentral_thickness,lh_G_precentral_volume,lh_supramarginal_area,lh_supramarginal_thickness,lh_supramarginal_volume,lh_superiortemporal_area,lh_superiortemporal_thickness,lh_superiortemporal_volume,lh_temporalpole_area
lh_G_precuneus_area,lh_G_precuneus_thickness,lh_G_precuneus_volume,lh_transversetemporal_area,lh_transversetemporal_thickness,lh_transversetemporal_volume,lh_supramarginal_area,lh_supramarginal_thickness,lh_supramarginal_volume,lh_transversetemporal_area
lh_G_rectus_area,lh_G_rectus_thickness,lh_G_rectus_volume,lh_insula_area,lh_insula_thickness,lh_insula_volume,lh_frontalpole_area,lh_frontalpole_thickness,lh_frontalpole_volume,lh_insula_area
lh_G_subcallosal_area,lh_G_subcallosal_thickness,lh_G_subcallosal_volume,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_volume,lh_temporalpole_area,lh_temporalpole_thickness,lh_temporalpole_volume,rh_bankssts_area
lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-G_T_transv_volume,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_volume,lh_transversetemporal_area,lh_transversetemporal_thickness,lh_transversetemporal_volume,rh_caudalanteriorcingulate_area
lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Lateral_volume,rh_cuneus_area,rh_cuneus_thickness,rh_cuneus_volume,lh_insula_area,lh_insula_thickness,lh_insula_volume,rh_caudalmiddlefrontal_area
lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_polar_volume,rh_entorhinal_area,rh_entorhinal_thickness,rh_entorhinal_volume,rh_bankssts_area,rh_bankssts_thickness,rh_bankssts_volume,rh_cuneus_area
lh_G_temp_sup-Plan_tempo_area,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temp_sup-Plan_tempo_volume,rh_fusiform_area,rh_fusiform_thickness,rh_fusiform_volume,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_volume,rh_fusiform_area
lh_G_temporal_inf_area,lh_G_temporal_inf_thickness,lh_G_temporal_inf_volume,rh_inferiorparietal_area,rh_inferiorparietal_thickness,rh_inferiorparietal_volume,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_volume,rh_inferiorparietal_area
lh_G_temporal_middle_area,lh_G_temporal_middle_thickness,lh_G_temporal_middle_volume,rh_inferiortemporal_area,rh_inferiortemporal_thickness,rh_inferiortemporal_volume,rh_cuneus_area,rh_cuneus_thickness,rh_cuneus_volume,rh_inferiortemporal_area
lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Horizont_volume,rh_isthmuscingulate_area,rh_isthmuscingulate_thickness,rh_isthmuscingulate_volume,rh_entorhinal_area,rh_entorhinal_thickness,rh_entorhinal_volume,rh_isthmuscingulate_area
lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-ant-Vertical_volume,rh_lateraloccipital_area,rh_lateraloccipital_thickness,rh_lateraloccipital_volume,rh_fusiform_area,rh_fusiform_thickness,rh_fusiform_volume,rh_lateraloccipital_area
lh_Lat_Fis-post_area,lh_Lat_Fis-post_thickness,lh_Lat_Fis-post_volume,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_volume,rh_inferiorparietal_area,rh_inferiorparietal_thickness,rh_inferiorparietal_volume,rh_lateralorbitofrontal_area
lh_Pole_occipital_area,lh_Pole_occipital_thickness,lh_Pole_occipital_volume,rh_lingual_area,rh_lingual_thickness,rh_lingual_volume,rh_inferiortemporal_area,rh_inferiortemporal_thickness,rh_inferiortemporal_volume,rh_lingual_area
lh_Pole_temporal_area,lh_Pole_temporal_thickness,lh_Pole_temporal_volume,rh_medialorbitofrontal_area,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_volume,rh_isthmuscingulate_area,rh_isthmuscingulate_thickness,rh_isthmuscingulate_volume,rh_medialorbitofrontal_area
lh_S_calcarine_area,lh_S_calcarine_thickness,lh_S_calcarine_volume,rh_middletemporal_area,rh_middletemporal_thickness,rh_middletemporal_volume,rh_lateraloccipital_area,rh_lateraloccipital_thickness,rh_lateraloccipital_volume,rh_middletemporal_area
lh_S_central_area,lh_S_central_thickness,lh_S_central_volume,rh_parahippocampal_area,rh_parahippocampal_thickness,rh_parahippocampal_volume,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_thickness,rh_lateralorbitofrontal_volume,rh_parahippocampal_area
lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_thickness,lh_S_cingul-Marginalis_volume,rh_paracentral_area,rh_paracentral_thickness,rh_paracentral_volume,rh_lingual_area,rh_lingual_thickness,rh_lingual_volume,rh_paracentral_area
lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_ant_volume,rh_parsopercularis_area,rh_parsopercularis_thickness,rh_parsopercularis_volume,rh_medialorbitofrontal_area,rh_medialorbitofrontal_thickness,rh_medialorbitofrontal_volume,rh_parsopercularis_area
lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_inf_volume,rh_parsorbitalis_area,rh_parsorbitalis_thickness,rh_parsorbitalis_volume,rh_middletemporal_area,rh_middletemporal_thickness,rh_middletemporal_volume,rh_parsorbitalis_area
lh_S_circular_insula_sup_area,lh_S_circular_insula_sup_thickness,lh_S_circular_insula_sup_volume,rh_parstriangularis_area,rh_parstriangularis_thickness,rh_parstriangularis_volume,rh_parahippocampal_area,rh_parahippocampal_thickness,rh_parahippocampal_volume,rh_parstriangularis_area
lh_S_collat_transv_ant_area,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_ant_volume,rh_pericalcarine_area,rh_pericalcarine_thickness,rh_pericalcarine_volume,rh_paracentral_area,rh_paracentral_thickness,rh_paracentral_volume,rh_pericalcarine_area
lh_S_collat_transv_post_area,lh_S_collat_transv_post_thickness,lh_S_collat_transv_post_volume,rh_postcentral_area,rh_postcentral_thickness,rh_postcentral_volume,rh_parsopercularis_area,rh_parsopercularis_thickness,rh_parsopercularis_volume,rh_postcentral_area
lh_S_front_inf_area,lh_S_front_inf_thickness,lh_S_front_inf_volume,rh_posteriorcingulate_area,rh_posteriorcingulate_thickness,rh_posteriorcingulate_volume,rh_parsorbitalis_area,rh_parsorbitalis_thickness,rh_parsorbitalis_volume,rh_posteriorcingulate_area
lh_S_front_middle_area,lh_S_front_middle_thickness,lh_S_front_middle_volume,rh_precentral_area,rh_precentral_thickness,rh_precentral_volume,rh_parstriangularis_area,rh_parstriangularis_thickness,rh_parstriangularis_volume,rh_precentral_area
lh_S_front_sup_area,lh_S_front_sup_thickness,lh_S_front_sup_volume,rh_precuneus_area,rh_precuneus_thickness,rh_precuneus_volume,rh_pericalcarine_area,rh_pericalcarine_thickness,rh_pericalcarine_volume,rh_precuneus_area
lh_S_interm_prim-Jensen_area,lh_S_interm_prim-Jensen_thickness,lh_S_interm_prim-Jensen_volume,rh_rostralanteriorcingulate_area,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_volume,rh_postcentral_area,rh_postcentral_thickness,rh_postcentral_volume,rh_rostralanteriorcingulate_area
lh_S_intrapariet&P_trans_area,lh_S_intrapariet&P_trans_thickness,lh_S_intrapariet&P_trans_volume,rh_rostralmiddlefrontal_area,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_volume,rh_posteriorcingulate_area,rh_posteriorcingulate_thickness,rh_posteriorcingulate_volume,rh_rostralmiddlefrontal_area
lh_S_oc_middle&Lunatus_area,lh_S_oc_middle&Lunatus_thickness,lh_S_oc_middle&Lunatus_volume,rh_superiorfrontal_area,rh_superiorfrontal_thickness,rh_superiorfrontal_volume,rh_precentral_area,rh_precentral_thickness,rh_precentral_volume,rh_superiorfrontal_area
lh_S_oc_sup&transversal_area,lh_S_oc_sup&transversal_thickness,lh_S_oc_sup&transversal_volume,rh_superiorparietal_area,rh_superiorparietal_thickness,rh_superiorparietal_volume,rh_precuneus_area,rh_precuneus_thickness,rh_precuneus_volume,rh_superiorparietal_area
lh_S_occipital_ant_area,lh_S_occipital_ant_thickness,lh_S_occipital_ant_volume,rh_superiortemporal_area,rh_superiortemporal_thickness,rh_superiortemporal_volume,rh_rostralanteriorcingulate_area,rh_rostralanteriorcingulate_thickness,rh_rostralanteriorcingulate_volume,rh_superiortemporal_area
lh_S_oc-temp_lat_area,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_lat_volume,rh_supramarginal_area,rh_supramarginal_thickness,rh_supramarginal_volume,rh_rostralmiddlefrontal_area,rh_rostralmiddlefrontal_thickness,rh_rostralmiddlefrontal_volume,rh_supramarginal_area
lh_S_oc-temp_med&Lingual_area,lh_S_oc-temp_med&Lingual_thickness,lh_S_oc-temp_med&Lingual_volume,rh_transversetemporal_area,rh_transversetemporal_thickness,rh_transversetemporal_volume,rh_superiorfrontal_area,rh_superiorfrontal_thickness,rh_superiorfrontal_volume,rh_frontalpole_area
lh_S_orbital_lateral_area,lh_S_orbital_lateral_thickness,lh_S_orbital_lateral_volume,rh_insula_area,rh_insula_thickness,rh_insula_volume,rh_superiorparietal_area,rh_superiorparietal_thickness,rh_superiorparietal_volume,rh_temporalpole_area
lh_S_orbital_med-olfact_area,lh_S_orbital_med-olfact_thickness,lh_S_orbital_med-olfact_volume,rh_temporalpole_area,rh_temporalpole_thickness,rh_temporalpole_volume,rh_superiortemporal_area,rh_superiortemporal_thickness,rh_superiortemporal_volume,rh_transversetemporal_area
lh_S_orbital-H_Shaped_area,lh_S_orbital-H_Shaped_thickness,lh_S_orbital-H_Shaped_volume,,,,rh_supramarginal_area,rh_supramarginal_thickness,rh_supramarginal_volume,rh_insula_area
lh_S_parieto_occipital_area,lh_S_parieto_occipital_thickness,lh_S_parieto_occipital_volume,,,,rh_frontalpole_area,rh_frontalpole_thickness,rh_frontalpole_volume,lh_bankssts_thickness
lh_S_pericallosal_area,lh_S_pericallosal_thickness,lh_S_pericallosal_volume,,,,rh_temporalpole_area,rh_temporalpole_thickness,rh_temporalpole_volume,lh_caudalanteriorcingulate_thickness
lh_S_postcentral_area,lh_S_postcentral_thickness,lh_S_postcentral_volume,,,,rh_transversetemporal_area,rh_transversetemporal_thickness,rh_transversetemporal_volume,lh_caudalmiddlefrontal_thickness
lh_S_precentral-inf-part_area,lh_S_precentral-inf-part_thickness,lh_S_precentral-inf-part_volume,,,,rh_insula_area,rh_insula_thickness,rh_insula_volume,lh_cuneus_thickness
lh_S_precentral-sup-part_area,lh_S_precentral-sup-part_thickness,lh_S_precentral-sup-part_volume,,,,,,,lh_fusiform_thickness
lh_S_suborbital_area,lh_S_suborbital_thickness,lh_S_suborbital_volume,,,,,,,lh_inferiorparietal_thickness
lh_S_subparietal_area,lh_S_subparietal_thickness,lh_S_subparietal_volume,,,,,,,lh_inferiortemporal_thickness
lh_S_temporal_inf_area,lh_S_temporal_inf_thickness,lh_S_temporal_inf_volume,,,,,,,lh_isthmuscingulate_thickness
lh_S_temporal_sup_area,lh_S_temporal_sup_thickness,lh_S_temporal_sup_volume,,,,,,,lh_lateraloccipital_thickness
lh_S_temporal_transverse_area,lh_S_temporal_transverse_thickness,lh_S_temporal_transverse_volume,,,,,,,lh_lateralorbitofrontal_thickness
lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_thickness,lh_G_and_S_frontomargin_volume,,,,,,,lh_lingual_thickness
lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_thickness,lh_G_and_S_occipital_inf_volume,,,,,,,lh_medialorbitofrontal_thickness
lh_G_and_S_paracentral_area,lh_G_and_S_paracentral_thickness,lh_G_and_S_paracentral_volume,,,,,,,lh_middletemporal_thickness
lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_thickness,lh_G_and_S_subcentral_volume,,,,,,,lh_parahippocampal_thickness
lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_thickness,lh_G_and_S_transv_frontopol_volume,,,,,,,lh_paracentral_thickness
lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_thickness,lh_G_and_S_cingul-Ant_volume,,,,,,,lh_parsopercularis_thickness
lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_thickness,lh_G_and_S_cingul-Mid-Ant_volume,,,,,,,lh_parsorbitalis_thickness
lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_thickness,lh_G_and_S_cingul-Mid-Post_volume,,,,,,,lh_parstriangularis_thickness
lh_G_Ins_lg_and_S_cent_ins_area,lh_G_Ins_lg_and_S_cent_ins_thickness,lh_G_Ins_lg_and_S_cent_ins_volume,,,,,,,lh_pericalcarine_thickness
lh_S_intrapariet_and_P_trans_area,lh_S_intrapariet_and_P_trans_thickness,lh_S_intrapariet_and_P_trans_volume,,,,,,,lh_postcentral_thickness
lh_S_oc_middle_and_Lunatus_area,lh_S_oc_middle_and_Lunatus_thickness,lh_S_oc_middle_and_Lunatus_volume,,,,,,,lh_posteriorcingulate_thickness
lh_S_oc_sup_and_transversal_area,lh_S_oc_sup_and_transversal_thickness,lh_S_oc_sup_and_transversal_volume,,,,,,,lh_precentral_thickness
